획득확률,아이템명
3.1%,[스페셜 라벨] 가을 이야기
3.2%,[스페셜 라벨] 가을 햇빛 (남) / 가을 햇살 (여)
2.5%,[스페셜 라벨] 달콤한 가을
3.0%,[스페셜 라벨] 물든 가을
3.2%,[스페셜 라벨] 가을길
1.5%,토끼가방 메고
5.0%,오싹한 염원 (남자만 획득가능) / 오싹한 기도 (여자만 획득가능)
3.5%,서늘한 시선 (남) / 서늘한 기척 (여)
3.5%,주니어 부기의 복수
3.0%,좀비버섯의 복수
5.0%,스산한 그림자
4.5%,부기 홍조 (남자만 획득가능) / 오싹 홍조 (여자만 획득가능)
4.5%,죄수 모자
2.5%,죄수복
5.0%,못가
5.0%,숟가락 탈옥범
2.0%,붕대 눈가리개
5.0%,꾸러기 팬츠
5.0%,가을 버섯 베레모
5.0%,라 돌체 비타
5.0%,우울하다
4.0%,[30일]미라 말풍선반지 교환권
4.0%,[30일]미라 명찰반지 교환권
4.0%,[30일] 스윗레터 말풍선반지 교환권
4.0%,[30일] 스윗레터 명찰반지 교환권
4.0%,보름달을 조심해! 이펙트 교환권
